SECCIÓN,DIVISIÓN,GRUPO,CLASE,SUBCLASE,DESCRIPCIÓN,
A,,,,,"AGRICULTURA, GANADERÍA, CAZA , PESCA Y SILVICULTURA",
,01,,,,"AGRICULTURA, GANADERÍA, CAZA Y SERVICIOS CONEXOS",
,,011,,,Cultivo de plantas no perennes,
,,,0111,,"Cultivo de cereales, legumbres y semillas oleaginosas",
,,,,01111,Cultivo de cereales,
,,,,01112,Cultivo de legumbres secas para grano,
,,,,01113,Cultivo de semillas oleaginosas,
,,,0112,,Cultivo de hortalizas,
,,,,01121,Cultivo de hortalizas de raíz,
,,,,01122,Cultivo de hortalizas de flor y fruto,
,,,,01123,Cultivo de hortalizas de hoja,
,,,,01124,Cultivo de hortalizas de bulbo,
,,,,01125,Cultivo de legumbres frescas,
,,,0113,,Cultivo de tubérculos,
,,,,01130,Cultivo de tubérculos,
,,,0114,,Cultivo de caña de azúcar,
,,,,01140,Cultivo de caña de azúcar,
,,,0115,,Cultivo de plantas para la obtención de fibras,
,,,,01150,Cultivo de plantas para la obtención de fibras,
,,,0116,,Cultivo de plantas forrajeras,
,,,,01160,Inscripción,
,,,0117,,Cultivo de flores,
,,,,01170,Cultivo de flores,
,,,0119,,Otros cultivos no perennes n.c.p.,
,,,,01191,Cultivo de tabaco,
,,,,01199,Otros cultivos no perennes n.c.p.,
,,012,,,Cultivo de plantas perennes,
,,,0121,,Cultivo de frutas de pepita y grano,
,,,,01210,Cultivo de frutas de pepita y grano,
,,,0122,,Cultivo de frutas tropicales y subtropicales,
,,,,01220,Cultivo de frutas tropicales y subtropicales,
,,,0123,,Cultivos de frutas cítricas,
,,,,01230,Cultivos de frutas cítricas,
,,,0124,,Cultivo de frutas de carozo (hueso),
,,,,01240,Cultivo de frutas de carozo (hueso),
,,,0125,,Cultivo de frutas secas,
,,,,01250,Cultivo de frutas secas,
,,,0126,,Cultivo de frutos oleaginosos,
,,,,01260,Cultivo de frutos oleaginosos,
,,,0127,,Cultivo de plantas con las que se preparan bebidas,
,,,,01270,Cultivo de plantas con las que se preparan bebidas,
,,,0128,,"Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas",
,,,,01281,"Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas",
,,,,01282,Cultivo de hoja de coca,
,,,0129,,Cultivo de otras plantas perennes,
,,,,01290,Cultivo de otras plantas perennes,
,,013,,,Propagación de plantas,
,,,0131,,Propagación de plantas,
,,,,01310,El cultivo de plantas para propagación,
,,,0132,,Cultivo de semillas,
,,,,01320,Cultivo de semillas,
,,014,,,Cría de animales en general,
,,,0141,,Inscripción,
,,,,01411,Cría y reproducción de ganado bovino y búfalos,
,,,,01412,Producción de leche cruda de vaca y de búfala,
,,,,01413,Producción de semen de bovino,
,,,0142,,Cría de ganado equino,
,,,,01420,Cría de ganado equino,
,,,0143,,Cría de ganado camélido o auquénido,
,,,,01430,Cría de ganado camélido o auquénido,
,,,0144,,Cría de ganado ovino y caprino,
,,,,01441,Cría de ganado ovino,
,,,,01442,Cría de ganado caprino,
,,,0145,,Cría de ganado porcino,
,,,,01450,Cría de ganado porcino,
,,,0146,,Cría de aves de corral,
,,,,01461,Cría y reproducción de aves de corral,
,,,,01462,Producción de huevos,
,,,0147,,Apicultura,
,,,,01470,Apicultura,
,,,0149,,Cría de otros animales,
,,,,01491,Cría animales invertebrados,
,,,,01492,Cría de conejos cuyes y castilla,
,,,,01493,Cría de animales domésticos y semidomesticos,
,,,,01499,Cría de otros animales n.c.p.,
,,015,,,Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta),
,,,0150,,Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta),
,,,,01500,Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta),
,,016,,,"Actividades de servicios agrícolas, ganaderos y actividades poscosecha",
,,,0161,,Actividades de apoyo a la agricultura a cambio de retribución o por contrata,
,,,,01611,Actividades de servicios agrícolas,
,,,,01612,Suministro de maquinaría agrícola con operadores,
,,,,01619,Otros servicios agrícolas,
,,,0162,,Actividades de apoyo a la ganadería a cambio de retribución o por contrata,
,,,,01621,"Cuidado, albergue y reproducción de animales",
,,,,01622,Servicios de inseminación artificial,
,,,,01623,Servicios de inspección y asistencia sanitaria a los animales,
,,,,01624,"Servicios de marcación, capadura o castrado",
,,,,01629,Otros servicios ganaderos n.c.p.,
,,,0163,,Actividades poscosecha,
,,,,01630,Actividades poscosecha,
,,,0164,,Tratamiento de semillas,
,,,,01640,Tratamiento de semillas,
,,017,,,"Caza ordinaria, mediante trampas y actividades de servicios conexas",
,,,0170,,"Caza ordinaria, mediante trampas y actividades de servicios conexas",
,,,,01700,"Caza ordinaria, mediante trampas y actividades de servicios conexas",
,02,,,,"SILVICULTURA, EXTRACCIÓN DE MADERA Y ACTIVIDADES DE SERVICIOS CONEXAS",
,,021,,,"Silvicultura, extracción de madera y actividades de servicios conexos",
,,,0210,,"Plantaciones forestales, conservación de bosques y zonas forestales; explotación de viveros forestales",
,,,,02100,"Plantaciones forestales, conservación de bosques y zonas forestales; explotación de viveros forestales",
,,022,,,Extracción de madera,
,,,0220,,Extracción de madera,
,,,,02201,Extracción de madera en rolas (troncas),
,,,,02202,Extracción de madera para combustible,
,,023,,,Recolección de productos forestales distintos de la madera,
,,,0230,,Recolección de productos forestales distintos de la madera,
,,,,02301,Aprovechamiento de productos forestales no maderables,
,,,,02302,Aprovechamiento de productos forestales no maderables para combustible,
,,024,,,Servicios de apoyo a la silvicultura a cambio de una retribución o por contrata,
,,,0240,,Servicios de apoyo a la silvicultura a cambio de una retribución o por contrata,
,,,,02401,Servicios de apoyo a la silvicultura a cambio de una retribución o por contrata,
,,,,02402,Consultoría en gestión forestal,
,03,,,,PESCA Y ACUICULTURA,
,,031,,,Pesca,
,,,0311,,Pesca,
,,,,03110,Pesca  lacustre,
,,,0312,,Pesca fluvial,
,,,,03120,Pesca fluvial,
,,032,,,Acuicultura,
,,,0321,,Explotación de criaderos de peces y granjas piscícolas,
,,,,03210,Explotación de criaderos de peces y granjas piscícolas,
,,,0322,,Actividades de servicios relacionados con la acuicultura,
,,,,03220,Actividades de servicios relacionados con la acuicultura,
B,,,,,EXPLOTACIÓN DE MINAS Y CANTERAS,
,05,,,,EXTRACCIÓN DE CARBÓN DE PIEDRA Y LIGNITO,
,,051,,,Extracción de carbón de piedra,
,,,0510,,Extracción de carbón de piedra,
,,,,05100,Extracción de carbón de piedra,
,,052,,,Extracción de lignito,
,,,0520,,Extracción de lignito,
,,,,05200,Extracción de lignito,
,06,,,,EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL,
,,061,,,Extracción de petróleo crudo,
,,,0610,,Extracción de petróleo crudo,
,,,,06100,Extracción de petróleo crudo,
,,062,,,Extracción gas natural,
,,,0620,,Extracción gas natural,
,,,,06200,Extracción gas natural,
,07,,,,EXTRACCIÓN DE MINERALES METALÍFEROS,
,,071,,,Extracción de minerales de hierro,
,,,0710,,Extracción de minerales de hierro,
,,,,07100,Extracción de minerales de hierro,
,,072,,,Extracción de minerales metalíferos no ferrosos,
,,,0721,,Extracción de minerales de uranio y torio,
,,,,07210,Extracción de minerales de uranio y torio,
,,,0729,,Extracción de otros minerales metalíferos no ferrosos,
,,,,07291,Extracción de minerales metalíferos no ferrosos,
,,,,07292,Extracción de metales preciosos,
,08,,,,EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS,
,,081,,,"Extracción de piedra, arena y arcilla",
,,,0810,,"Extracción de piedra, arena y arcilla",
,,,,08101,Extracción de piedras,
,,,,08102,Extracción de yeso y anhidrita,
,,,,08103,Extracción de arenas,
,,,,08104,Extracción de arcilla,
,,089,,,Explotación de otras minas y canteras n.c.p.,
,,,0891,,Extracción de minerales para la fabricación de abonos y productos químicos,
,,,,08910,Extracción de minerales para la fabricación de abonos y productos químicos,
,,,0892,,Extracción de turba,
,,,,08920,Extracción de turba,
,,,0893,,Extracción de sal,
,,,,08930,Extracción de sal,
,,,0899,,Explotación de otras minas y canteras n.c.p.,
,,,,08991,Extracción de piedras preciosas y semipreciosas,
,,,,08999,Explotación de otras minas y canteras,
,09,,,,"ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN   
DE MINAS CANTERAS",
,,091,,,"Actividades de exploración, prospección, perforación, sondeo y otros servicios relacionados con la extracción de petróleo y gas natural",
,,,0910,,"Actividades de exploración, prospección, perforación, sondeo y otros servicios relacionados con la extracción de petróleo y gas natural",
,,,,09100,"Actividades de exploración, prospección, perforación, sondeo y otros servicios relacionados con la extracción de petróleo y gas natural",
,,099,,,"Actividades de exploración, prospección, drenaje, perforación y otros servicios relacionados en la explotación de minas y canteras",
,,,0990,,"Actividades de exploración, prospección, drenaje, perforación y otros servicios relacionados en la explotación de minas y canteras",
,,,,09900,"Actividades de exploración, prospección, drenaje, perforación y otros servicios relacionados en la explotación de minas y canteras",
C,,,,,INDUSTRIA MANUFACTURERA,
,10,,,,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
,,101,,,"Producción, procesamiento y conservación de carne y productos cárnicos",
,,,1010,,"Explotación de mataderos, producción, procesamiento y conservación de carne y productos cárnicos",
,,,,10101,Matanza de ganado bovino y procesamiento de su carne,
,,,,10102,Matanza de ganado porcino y procesamiento de su carne,
,,,,10103,Matanza de ganado camélido y procesamiento de su carne,
,,,,10104,"Matanza, producción y procesamiento de carne de aves",
,,,,10105,Matanza de otro tipo de ganado y procesamiento de su carne,
,,,,10106,Elaboración de embutidos,
,,,,10107,Elaboración de otros productos cárnicos,
,,,,10108,"Elaboración de carne seca, salada y ahumada",
,,,,10109,Elaboración de otros subproductos cárnicos n.c.p.,
,,102,,,Elaboración y conservación de pescado y productos de pescado,
,,,1020,,Elaboración y conservación de pescado y productos de pescado,
,,,,10200,Elaboración y conservación de pescado y productos de pescado,
,,103,,,"Elaboración y conservación de frutas, hortalizas y tubérculos",
,,,1030,,"Elaboración y conservación de frutas, hortalizas y tubérculos",
,,,,10301,"Elaboración de conservas de frutas, hortalizas y tubérculos inmersos en vinagre, aceite u otros conservantes",
,,,,10302,Elaboración de jugos naturales y sus concentrados de frutas y hortalizas,
,,,,10303,"Elaboración de pulpas, jaleas, dulces y mermeladas obtenidos por cocción",
,,,,10304,"Elaboración de frutas, hortalizas y tubérculos congelados, desecados, deshidratados, fritos y puré",
,,,,10309,"Elaboración y conservación de frutas, hortalizas, tubérculos n.c.p.",
,,104,,,Elaboración de aceites y grasas de origen vegetal y animal,
,,,1040,,Elaboración de aceites y grasas de origen vegetal y animal,
,,,,10401,Elaboración de aceites vegetales,
,,,,10402,Producción de harina y sémola de semillas oleaginosas,
,,,,10403,Elaboración de margarina y manteca vegetal,
,,,,10404,Producción de tortas y otros productos residuales de la elaboración de aceite,
,,,,10409,Elaboración de otros aceites y grasas de origen vegetal y animal n.c.p.,
,,105,,,Elaboración de productos lácteos,
,,,1050,,Elaboración de productos lácteos,
,,,,10501,Elaboración de leches y productos lácteos,
,,,,10502,Elaboración de helados,
,,,,10503,Elaboración de quesos,
,,,,10504,Elaboración de yugurt,
,,,,10509,Elaboración de otros productos lácteos n.c.p.,REMPLAZAR
,,106,,,"Beneficiado y elaboración de productos de molinería, almidones y productos derivados del almidón",
,,,1061,,Beneficiado y elaboración de productos de molinería,
,,,,10611,"Procesamiento de cereales: producción de harina, sémola y gránulos de trigo, avena, maíz y otros cereales",
,,,,10612,"Beneficiado (descascarillado, pulido y blanqueado) y molienda de arroz",
,,,,10613,Beneficiado de quinua,
,,,,10614,Elaboración de alimentos mediante el tostado o insuflación de granos de cereales,
,,,,10619,Beneficiado y elaboración de otros productos de molinería n.c.p.,
,,,1062,,Elaboración de almidones y productos derivados del almidón,
,,,,10620,Elaboración de almidones y productos derivados del almidón,
,,107,,,Elaboración de otros productos alimenticios,
,,,1071,,Elaboración de productos de panadería,
,,,,10711,Elaboración de pan,
,,,,10712,Elaboración de productos de pastelería,
,,,,10719,Elaboración de otros productos de panadería y pastelería n.c.p.,
,,,1072,,Elaboración de azúcar,
,,,,10721,Elaboración de azúcar de caña,
,,,,10722,Elaboración de azúcar de remolacha,
,,,1073,,"Elaboración de cacao, chocolate y productos de confitería",
,,,,10731,"Elaboración de cacao, manteca, grasa y aceite de cacao",
,,,,10732,Elaboración de chocolates y productos de chocolate,
,,,,10733,Elaboración de productos de confitería,
,,,,10734,"Conservación en azúcar de frutas, nueces y partes de frutas",
,,,1074,,"Elaboración de pastas, macarrones y fideos",
,,,,10740,"Elaboración de pastas, macarrones y fideos",
,,,1075,,"Elaboración de platos preparados, comidas sometidas a procesos de conservación, enlatado o congelado",
,,,,10750,"Elaboración de platos preparados, comidas sometidas a procesos de conservación, enlatado o congelado",
,,,1079,,Elaboración de otros productos alimenticios n.c.p.,
,,,,10791,"Tostado, torrado, molienda y fabricación de productos de café",
,,,,10792,Elaboración de té e infusiones de hierbas,
,,,,10793,"Elaboración de especias, salsas y condimentos",
,,,,10794,Elaboración de sal de mesa (sal yodada),
,,,,10795,Elaboración de concentrados artificiales,
,,,,10796,"Elaboración de extractos de jugos de carne, sopas y caldos",
,,,,10797,Beneficiado del café,
,,,,10798,Beneficiado de la castaña,
,,,,10799,Elaboración de productos alimenticios n.c.p.,
,,108,,,Elaboración de alimentos preparados para animales,
,,,1080,,Elaboración de alimentos preparados para animales,
,,,,10800,Elaboración de alimentos preparados para animales,
,11,,,,ELABORACIÓN DE BEBIDAS,
,,110,,,Elaboración de bebidas,
,,,1101,,"Destilación, rectificación y mezcla de bebidas alcohólicas",
,,,,11011,Elaboración de bebidas alcohólicas destiladas,
,,,,11012,Elaboración de singani y aguardientes,
,,,1102,,Elaboración de vinos,
,,,,11021,Elaboración de vinos,
,,,,11022,Elaboración de bebidas alcohólicas fermentadas pero no destiladas (chicha),
,,,1103,,"Producción de malta, elaboración de cerveza y otras  bebidas malteadas",
,,,,11030,"Producción de malta, elaboración de cerveza y otras  bebidas malteadas",
,,,1104,,Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas,
,,,,11041,Elaboración de bebidas gaseosas,
,,,,11042,"Elaboración de aguas minerales, tónicas y otras aguas envasadas",
,,,,11049,"Elaboración de otras bebidas, aromatizadas y/o edulcoradas, no alcohólicas",
,12,,,,ELABORACIÓN DE PRODUCTOS DE TABACO,
,,120,,,Elaboración de productos de tabaco,
,,,1200,,Elaboración de productos de tabaco,
,,,,12000,Elaboración de productos de tabaco,
,13,,,,FABRICACIÓN DE PRODUCTOS TEXTILES,
,,131,,,"Hilado, tejido y acabado de productos textiles",
,,,1311,,Preparación e hilado de fibras textiles,
,,,,13110,Preparación e hilado de fibras textiles,
,,,1312,,Fabricación de telas,
,,,,13120,Fabricación de telas,
,,,1313,,"Acabado de productos textiles: blanqueo, teñido, sanforizado, plisado, estampado serigráfico de productos textiles y prendas de vestir",
,,,,13130,"Acabado de productos textiles: blanqueo, teñido, sanforizado, plisado, estampado serigráfico de productos textiles y prendas de vestir",
,,139,,,Fabricación de otros productos textiles,
,,,1391,,Fabricación de tejidos de punto y ganchillo,
,,,,13910,Fabricación de tejidos de punto y ganchillo,
,,,1392,,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir",
